id,group,weapon,off hand,helmet,armor,boots,cape,food
0,0,T8_2H_HAMMER_AVALON,,T8_HEAD_LEATHER_SET3,T8_ARMOR_PLATE_KEEPER,T8_SHOES_PLATE_KEEPER,T8_CAPEITEM_FW_MARTLOCK,T8_MEAL_SANDWICH@1
1,0,T8_2H_HAMMER,,T8_HEAD_PLATE_KEEPER,T8_ARMOR_PLATE_FEY,T8_SHOES_LEATHER_SET1,T8_CAPEITEM_FW_MARTLOCK,T7_MEAL_OMELETTE@1
2,0,T8_MAIN_ROCKMACE_KEEPER,T8_OFF_HORN_KEEPER,T8_HEAD_PLATE_KEEPER,T8_ARMOR_PLATE_FEY,T8_SHOES_LEATHER_SET1,T8_CAPEITEM_FW_MARTLOCK,T7_MEAL_OMELETTE@1
3,0,T8_2H_MACE,,T8_HEAD_PLATE_KEEPER,T8_ARMOR_PLATE_SET3,T8_SHOES_LEATHER_SET1,T8_CAPEITEM_FW_MARTLOCK,T7_MEAL_OMELETTE@1
4,0,T8_MAIN_HOLYSTAFF_AVALON,T8_OFF_ORB_MORGANA,T8_HEAD_CLOTH_KEEPER,T8_ARMOR_CLOTH_FEY,T8_SHOES_LEATHER_SET1,T8_CAPEITEM_FW_CAERLEON,T7_MEAL_OMELETTE@1
5,0,T8_2H_NATURESTAFF_HELL,,T8_HEAD_LEATHER_SET3,T8_ARMOR_CLOTH_FEY,T8_SHOES_LEATHER_SET1,T8_CAPEITEM_FW_LYMHURST,T7_MEAL_OMELETTE@1
6,0,T8_2H_ENIGMATICSTAFF,,T8_HEAD_LEATHER_SET3,T8_ARMOR_PLATE_KEEPER,T8_SHOES_LEATHER_SET1,T8_CAPEITEM_FW_LYMHURST,T7_MEAL_OMELETTE@1
7,0,T8_2H_DUALMACE_AVALON,,T8_HEAD_LEATHER_SET3,T8_ARMOR_PLATE_HELL,T8_SHOES_LEATHER_SET1,T8_CAPEITEM_FW_MARTLOCK,T7_MEAL_OMELETTE@1
8,1,T8_2H_CLEAVER_HELL,,T8_HEAD_PLATE_KEEPER,T8_ARMOR_PLATE_KEEPER,T8_SHOES_PLATE_AVALON,T8_CAPEITEM_FW_MARTLOCK,T7_MEAL_OMELETTE@1
9,1,T8_2H_AXE_AVALON,,T8_HEAD_PLATE_SET2,T8_ARMOR_PLATE_KEEPER,T8_SHOES_CLOTH_ROYAL,T8_CAPEITEM_FW_MARTLOCK,T7_MEAL_OMELETTE@1
10,1,T8_2H_HARPOON_HELL,,T8_HEAD_LEATHER_SET3,T8_ARMOR_LEATHER_ROYAL,T8_SHOES_PLATE_AVALON,T8_CAPEITEM_FW_LYMHURST,T8_MEAL_STEW@1
11,1,T8_2H_KNUCKLES_SET3,,T8_HEAD_LEATHER_MORGANA,T8_ARMOR_LEATHER_AVALON,T8_SHOES_PLATE_AVALON,T8_CAPEITEM_FW_LYMHURST,T8_MEAL_STEW_FISH@1
12,1,T8_2H_FIRE_RINGPAIR_AVALON,,T8_HEAD_LEATHER_SET3,T8_ARMOR_LEATHER_AVALON,T8_SHOES_PLATE_AVALON,T8_CAPEITEM_FW_LYMHURST,T8_MEAL_STEW@1
13,1,T8_2H_KNUCKLES_HELL,,T8_HEAD_PLATE_SET2,T8_ARMOR_LEATHER_AVALON,T8_SHOES_PLATE_AVALON,T8_CAPEITEM_FW_LYMHURST,T7_MEAL_OMELETTE@1
14,1,T8_2H_ICECRYSTAL_UNDEAD,,T8_HEAD_LEATHER_SET3,T8_ARMOR_CLOTH_SET1,T8_SHOES_PLATE_AVALON,T8_CAPEITEM_FW_LYMHURST,T7_MEAL_OMELETTE@1
15,1,T8_2H_HALBERD,,T8_HEAD_LEATHER_AVALON,T8_ARMOR_PLATE_ROYAL,T8_SHOES_CLOTH_FEY,T8_CAPEITEM_FW_THETFORD,T7_MEAL_ROAST@1
16,1,T8_2H_SCYTHE_HELL,,T8_HEAD_LEATHER_MORGANA,T8_ARMOR_LEATHER_HELL,T8_SHOES_CLOTH_FEY,T8_CAPEITEM_FW_LYMHURST,T7_MEAL_ROAST@1
